"","X","Forest","Site","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log","log_1_SD","log_alpha","y0","yf","alpha"
"1",1,"Chugach","Chenega",68,2.99232711705879,0.709164984670623,25,17.0183136217453,1.17340217270287,4,0.846430747763383,-0.166726890840178,2.83429003608264,-2.83429003608264,-1.92769458043392,345.167832164842,4.44109321494785,0.145483212005371
"2",2,"Chugach","Cooper Landing",36,2.45256245653537,0.684400584636511,25,22.3883587510021,1.03511406080573,4,0.746676961139434,-0.292122635655891,3.10854112515488,-3.10854112515488,-1.44303555310349,86.8017292171034,1.32973301801398,0.236209642380464
"3",3,"Chugach","Cordova",76,2.72127469479805,0.628363485113153,25,16.0205028727301,1.18760135100263,4,0.856673289822264,-0.154698658480832,2.77386933145529,-2.77386933145529,-1.61285256847444,169.303236241238,2.8274235304778,0.199318233453503
"4",4,"Chugach","Hope",41,2.73211019073136,0.735709484468422,25,23.8042889177122,1.00592394548508,4,0.725620743831395,-0.320727792068086,3.16986577106873,-3.16986577106873,-1.74374023335503,108.111298487554,0.464623564726346,0.174865139538681
"5",5,"Chugach","Moose Pass",27,2.49304297323148,0.756421835967232,25,16.0401876074227,1.20519430856735,4,0.869363926138861,-0.139993454112243,2.77509729859333,-2.77509729859333,-1.46912109489855,87.3250973198319,0.655756414039652,0.230127656700381
"6",6,"Chugach","Nanwalek",64,2.75621476434025,0.662729562023103,25,26.7203084510006,0.992319782708364,4,0.715807414744685,-0.334344122021709,3.28542389242669,-3.28542389242669,-1.75782320397237,256.024565110037,2.69615411450902,0.172419778307333
"7",7,"Chugach","Port Graham",63,2.7438681209849,0.662268620787689,25,23.3523903799825,1.03149708096299,4,0.744067861698377,-0.295623036348419,3.150699350609,-3.150699350609,-1.72762519402445,246.216267018414,2.1537899415506,0.177705926357763
"8",8,"Chugach","Port San Juan (Evans Island)",20,2.27104420770475,0.758093180673483,25,23.9332408185068,1.01872578781073,4,0.734855321050125,-0.308081641253925,3.1752683218566,-3.1752683218566,-1.38114695685825,240.995459259897,-2.00286093054404,0.251290168726744
"9",9,"Chugach","Seward",33,2.4754331035515,0.707973044540842,25,19.6764095453856,1.14588953314496,4,0.826584573437399,-0.190453039748146,2.97942043318006,-2.97942043318006,-1.41046174928467,95.5668684617086,1.42826326716823,0.244030576190268
"10",10,"Chugach","Tatitlek",54,2.75975990962458,0.691845311339757,25,15.6155741337225,1.21991490600559,4,0.879982592600397,-0.127853152841447,2.74826875814893,-2.74826875814893,-1.75924999315398,325.866080465703,2.68409592864435,0.172173947049341
"11",11,"Chugach","Valdez",51,2.72311400538903,0.692582596421553,25,16.9593484778689,1.12744759320621,4,0.813281525790401,-0.206677949190478,2.83081921440588,-2.83081921440588,-1.68236923105247,86.4269682671121,1.64647378966937,0.185932935697547
"12",12,"Chugach","Whittier",45,2.64111311475613,0.693813313329883,25,18.6485012246024,1.10436327832651,4,0.79662971249077,-0.227365309795403,2.92576577956843,-2.92576577956843,-1.80905543110171,70.8201889007979,0.728176387214819,0.163808792440358
"13",13,"Tongass","Angoon",45,2.55979933125029,0.672452401054535,25,8.68856945515367,1.33392277616589,4,0.962221887051686,-0.0385102030915927,2.16200830606589,-2.16200830606589,-1.60421077321097,205.272818135996,1.60962011493363,0.201048164910001
